CD114_Name,FIPS,State_FIPS,CD114_FIPS,StateCode,long,lat
SC-06,4506,45,06,SC,-80.5230386028097,33.2181317289078
SC-01,4501,45,01,SC,-80.1614996439228,32.7762358300943
SC-07,4507,45,07,SC,-79.5303121865927,34.1202002724685
SC-02,4502,45,02,SC,-81.3744690423757,33.6348834411028
SC-03,4503,45,03,SC,-82.3387111623718,34.3550425626513
SD-00,4600,46,00,SD,-100.230706871777,44.4359467921826
TN-06,4706,47,06,TN,-85.7811269346073,36.2006677011442
TN-09,4709,47,09,TN,-89.9824908891519,35.1691838207183
TN-05,4705,47,05,TN,-87.0745112310232,36.1767030122625
TN-07,4707,47,07,TN,-87.8316521012124,35.6362098413846
TN-03,4703,47,03,TN,-84.501093239677,35.7645224700651
TN-02,4702,47,02,TN,-83.828870018791,36.0463211130282
TN-08,4708,47,08,TN,-89.0965277549436,35.8633891046251
TN-04,4704,47,04,TN,-85.9556428307905,35.4502111633363
TN-01,4701,47,01,TN,-82.7946133390319,36.2168319231391
TX-02,4802,48,02,TX,-95.3333049170916,29.9630031716663
TX-20,4820,48,20,TX,-98.6254670659005,29.4796282389412
TX-12,4812,48,12,TX,-97.6711894353788,32.8174200888113
TX-07,4807,48,07,TX,-95.5995322506722,29.7902620588764
TX-01,4801,48,01,TX,-94.5619819921304,31.9618004209318
TX-36,4836,48,36,TX,-94.4224976395394,30.4309682497576
TX-26,4826,48,26,TX,-97.1336143446084,33.1918361682018
TX-32,4832,48,32,TX,-96.6503510323368,32.9255092578229
TX-30,4830,48,30,TX,-96.8035613777176,32.6581973572397
TX-14,4814,48,14,TX,-94.9030007634269,29.451330834621
TX-28,4828,48,28,TX,-98.9091894852618,27.8522605769072
TX-15,4815,48,15,TX,-98.26087950778,27.7560574605677
TX-25,4825,48,25,TX,-97.8138343674015,31.4996697608964
TX-16,4816,48,16,TX,-106.281679554901,31.8578536992318
TX-24,4824,48,24,TX,-97.010970237139,32.9197314035098
TX-17,4817,48,17,TX,-96.653314878061,31.1653505470785
TX-04,4804,48,04,TX,-95.4042847915307,33.312255084583
TX-31,4831,48,31,TX,-97.5390397407925,30.8362558570072
TX-21,4821,48,21,TX,-98.961232166828,30.0194193078209
TX-23,4823,48,23,TX,-102.360945258208,30.377884235927
TX-05,4805,48,05,TX,-95.7396722008865,32.2267750392358
TX-03,4803,48,03,TX,-96.6110910330041,33.1580114466236
TX-19,4819,48,19,TX,-101.217290950012,33.2450664738394
TX-08,4808,48,08,TX,-95.5456652672734,30.8205048420072
